   2929 
     83 IPR013087	Zinc finger C2H2-type
      6 IPR036860	SH2 domain superfamily
      6 IPR036834	Blc2-like superfamily
      6 IPR036398	Alpha carbonic anhydrase domain superfamily
      6 IPR035979	RNA-binding domain superfamily
      6 IPR032675	Leucine-rich repeat domain superfamily
      6 IPR029158	Stimulator of interferon genes protein
      6 IPR029030	Caspase-like domain superfamily
      6 IPR024983	CHAT domain
      6 IPR023395	Mitochondrial carrier domain superfamily
      6 IPR020635	Tyrosine-protein kinase, catalytic domain
      6 IPR019775	WD40 repeat, conserved site
      6 IPR018114	Serine proteases, trypsin family, histidine active site
      6 IPR017868	Filamin/ABP280 repeat-like
      6 IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
      6 IPR011992	EF-hand domain pair
      6 IPR009146	Groucho/transducin-like enhancer
      6 IPR005225	Small GTP-binding protein domain
      6 IPR003409	MORN motif
      6 IPR003307	W2 domain
      6 IPR003096	Smooth muscle protein/calponin
      6 IPR002181	Fibrinogen, alpha/beta/gamma chain, C-terminal globular domain
      6 IPR002017	Spectrin repeat
      6 IPR001309	Peptidase C14,  p20 domain
      6 IPR000569	HECT domain
      6 IPR000484	Photosynthetic reaction centre, L/M
      6 IPR000409	BEACH domain
      6 IPR000198	Rho GTPase-activating protein domain
      5 IPR040223	PAR basic leucine zipper protein
      5 IPR039465	Interleukin-17 receptor-like
      5 IPR036259	MFS transporter superfamily
      5 IPR033139	Peptidase family C14A, cysteine active site
      5 IPR023415	Low-density lipoprotein (LDL) receptor class A, conserved site
      5 IPR022533	Cox20
      5 IPR017986	WD40-repeat-containing domain
      5 IPR017970	Homeobox, conserved site
      5 IPR016021	MIF4G-like domain superfamily
      5 IPR013289	CBFA2T family
      5 IPR009030	Growth factor receptor cysteine-rich domain superfamily
      5 IPR008936	Rho GTPase activation protein
      5 IPR004123	Dim1 family
      5 IPR002867	IBR domain
      5 IPR002398	Peptidase C14 family
      5 IPR002202	Hydroxymethylglutaryl-CoA reductase, class I/II
      5 IPR002138	Peptidase C14, caspase non-catalytic subunit p10
      5 IPR002087	Anti-proliferative protein
      5 IPR001848	Ribosomal protein S10
      5 IPR001096	Peptidase C13, legumain
      4 IPR036873	Rhodanese-like domain superfamily
      4 IPR036872	CH domain superfamily
      4 IPR036869	Chaperone J-domain superfamily
      4 IPR036857	Thyroglobulin type-1 superfamily
      4 IPR036838	Ribosomal protein S10 domain superfamily
      4 IPR036645	Elafin-like superfamily
      4 IPR036612	K Homology domain, type 1 superfamily
      4 IPR036539	Cytochrome c oxidase, subunit VIIa superfamily
      4 IPR036388	Winged helix-like DNA-binding domain superfamily
      4 IPR036372	BEACH domain superfamily
      4 IPR036291	NAD(P)-binding domain superfamily
      4 IPR036034	PDZ superfamily
      4 IPR035976	Sushi/SCR/CCP superfamily
      4 IPR035914	Spermadhesin, CUB domain superfamily
      4 IPR035892	C2 domain superfamily
      4 IPR029034	Cystine-knot cytokine
      4 IPR027486	Ribosomal protein S10 domain
      4 IPR027409	GroEL-like apical domain superfamily
      4 IPR027267	AH/BAR domain superfamily
      4 IPR024079	Metallopeptidase, catalytic domain superfamily
      4 IPR023635	Peptide deformylase
      4 IPR023088	3'5'-cyclic nucleotide phosphodiesterase
      4 IPR022812	Dynamin superfamily
      4 IPR020471	Aldo/keto reductase
      4 IPR020454	Diacylglycerol/phorbol-ester binding
      4 IPR019744	Amyloidogenic glycoprotein,  copper-binding domain conserved site
      4 IPR019543	Beta-amyloid precursor protein C-terminal
      4 IPR017972	Cytochrome P450, conserved site
      4 IPR017452	GPCR, rhodopsin-like, 7TM
      4 IPR016130	Protein-tyrosine phosphatase, active site
      4 IPR015919	Cadherin-like superfamily
      4 IPR015849	Amyloidogenic glycoprotein, heparin-binding
      4 IPR014756	Immunoglobulin E-set
      4 IPR014729	Rossmann-like alpha/beta/alpha sandwich fold
      4 IPR013026	Tetratricopeptide repeat-containing domain
      4 IPR011178	Amyloidogenic glycoprotein, copper-binding
      4 IPR008979	Galactose-binding-like domain superfamily
      4 IPR008942	ENTH/VHS
      4 IPR008859	Thrombospondin, C-terminal
      4 IPR008160	Collagen triple helix repeat
      4 IPR005637	TAP C-terminal (TAP-C) domain
      4 IPR005146	B3/B4 tRNA-binding domain
      4 IPR004313	Acireductone dioxygenase ARD family
      4 IPR003938	Potassium channel, voltage-dependent, EAG/ELK/ERG
      4 IPR003918	NADH:ubiquinone oxidoreductase
      4 IPR003172	MD-2-related lipid-recognition domain
      4 IPR002710	Dilute domain
      4 IPR002208	SecY/SEC61-alpha family
      4 IPR002159	CD36 family
      4 IPR001892	Ribosomal protein S13
      4 IPR001695	Lysyl oxidase
      4 IPR001661	Glycoside hydrolase, family 37
      4 IPR001478	PDZ domain
      4 IPR001163	LSM domain, eukaryotic/archaea-type
      4 IPR000960	Flavin monooxygenase FMO
      4 IPR000945	Dopamine beta-hydroxylase-like
      4 IPR000539	Frizzled/Smoothened, transmembrane domain
      4 IPR000421	Coagulation factor 5/8 C-terminal domain
      4 IPR000301	Tetraspanin
      4 IPR000219	Dbl homology (DH) domain
      3 IPR043502	DNA/RNA polymerase superfamily
      3 IPR038623	Stimulator of interferon genes protein, C-terminal domain superfamily
      3 IPR036390	Winged helix DNA-binding domain superfamily
      3 IPR036134	Cryptochrome/DNA photolyase, FAD-binding domain-like superfamily
      3 IPR035983	HECT, E3 ligase catalytic domain
      3 IPR034035	Astacin-like metallopeptidase domain
      3 IPR033116	Serine proteases, trypsin family, serine active site
      3 IPR029044	Nucleotide-diphospho-sugar transferases
      3 IPR028534	Hematopoietic lineage cell-specific protein
      3 IPR028364	Ribosomal protein L1/ribosomal biogenesis protein
      3 IPR027413	GroEL-like equatorial domain superfamily
      3 IPR021133	HEAT, type 2
      3 IPR021040	LRRC8, pannexin-like TM region
      3 IPR020894	Cadherin conserved site
      3 IPR020472	G-protein beta WD-40 repeat
      3 IPR018159	Spectrin/alpha-actinin
      3 IPR017998	Chaperone tailless complex polypeptide 1 (TCP-1)
      3 IPR017981	GPCR, family 2-like
      3 IPR017907	Zinc finger, RING-type, conserved site
      3 IPR014889	Transcription factor DP, C-terminal
      3 IPR013809	ENTH  domain
      3 IPR011072	HR1 rho-binding domain
      3 IPR011042	Six-bladed beta-propeller, TolB-like
      3 IPR011011	Zinc finger, FYVE/PHD-type
      3 IPR009061	Putative DNA-binding domain superfamily
      3 IPR009038	GOLD domain
      3 IPR008628	Golgi phosphoprotein 3-like
      3 IPR008266	Tyrosine-protein kinase, active site
      3 IPR008256	Peptidase S1B
      3 IPR007653	Signal peptidase complex subunit 3
      3 IPR006593	Cytochrome b561/ferric reductase transmembrane
      3 IPR006575	RWD domain
      3 IPR006026	Peptidase, metallopeptidase
      3 IPR006015	Universal stress protein A family
      3 IPR005375	Ubiquitin-fold modifier 1
      3 IPR005147	tRNA synthetase, B5-domain
      3 IPR005101	Cryptochrome/DNA photolyase, FAD-binding domain
      3 IPR004932	Retrieval of early ER protein Rer1
      3 IPR004328	BRO1 domain
      3 IPR003894	TAFH/NHR1
      3 IPR003595	Protein-tyrosine phosphatase, catalytic
      3 IPR003521	ICln
      3 IPR003123	VPS9 domain
      3 IPR003111	Lon, substrate-binding domain
      3 IPR003107	HAT (Half-A-TPR) repeat
      3 IPR002893	Zinc finger, MYND-type
      3 IPR002194	Chaperonin TCP-1, conserved site
      3 IPR002073	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain
      3 IPR001932	PPM-type phosphatase domain
      3 IPR001810	F-box domain
      3 IPR001711	Phospholipase C, phosphatidylinositol-specific, Y domain
      3 IPR001662	Elongation factor 1B gamma, C-terminal
      3 IPR001660	Sterile alpha motif domain
      3 IPR001565	Synaptotagmin
      3 IPR001310	Histidine triad (HIT) protein
      3 IPR001304	C-type lectin-like
      3 IPR001293	Zinc finger, TRAF-type
      3 IPR001192	Phosphoinositide phospholipase C family
      3 IPR001012	UBX domain
      3 IPR000884	Thrombospondin type-1 (TSP1) repeat
      3 IPR000659	Pyridoxamine 5'-phosphate oxidase
      3 IPR000630	Ribosomal protein S8
      3 IPR000626	Ubiquitin-like domain
      3 IPR000467	G-patch domain
      3 IPR000387	Tyrosine specific protein phosphatases domain
      3 IPR000195	Rab-GTPase-TBC domain
      3 IPR000175	Sodium:neurotransmitter symporter
      3 IPR000095	CRIB domain
      2 IPR043472	Macro domain-like
      2 IPR043128	Reverse transcriptase/Diguanylate cyclase domain
      2 IPR042232	Choline/Carnitine o-acyltransferase, domain 1
      2 IPR042099	AMP-dependent synthetase-like superfamily
      2 IPR042097	Aminopeptidase N-like , N-terminal
      2 IPR041679	DNA2/NAM7 helicase-like, C-terminal
      2 IPR041616	Phenylalanyl tRNA synthetase beta chain, core domain
      2 IPR041555	Macroglobulin domain MG3
      2 IPR040659	Phenylalanine--tRNA ligase beta subunit, B1 domain
      2 IPR040251	Protein transport protein SEC31-like
      2 IPR040055	28S ribosomal protein S10, mitochondrial
      2 IPR039924	ICln/Lot5
      2 IPR039872	Uncharacterized protein KIAA0513
      2 IPR039551	Choline/carnitine acyltransferase domain
      2 IPR039297	Cytochrome c oxidase subunit VII
      2 IPR038765	Papain-like cysteine peptidase superfamily
      2 IPR038716	Ribosomal protein P1/P2, N-terminal domain
      2 IPR037249	TAFH/NHR1 domain superfamily
      2 IPR037191	VPS9 domain superfamily
      2 IPR036971	3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily
      2 IPR036961	Kinesin motor domain superfamily
      2 IPR036910	High mobility group box domain superfamily
      2 IPR036866	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like
      2 IPR036854	Photosystem II protein D1/D2 superfamily
      2 IPR036850	Nucleoside diphosphate kinase-like domain superfamily
      2 IPR036846	GM2-AP, lipid-recognition domain superfamily
      2 IPR036821	Peptide deformylase superfamily
      2 IPR036812	NADP-dependent oxidoreductase domain superfamily
      2 IPR036802	ATP:guanido phosphotransferase, N-terminal domain superfamily
      2 IPR036790	Frizzled cysteine-rich domain superfamily
      2 IPR036691	Endonuclease/exonuclease/phosphatase superfamily
      2 IPR036640	ABC transporter type 1, transmembrane domain superfamily
      2 IPR036621	Anticodon-binding domain superfamily
      2 IPR036610	PEBP-like superfamily
      2 IPR036603	RNA polymerase, RBP11-like subunit
      2 IPR036566	Pyrimidine nucleoside phosphorylase-like, C-terminal domain superfamily
      2 IPR036527	SCP2 sterol-binding domain superfamily
      2 IPR036497	Glycolipid transfer protein superfamily
      2 IPR036464	Rubisco LSMT, substrate-binding domain superfamily
      2 IPR036457	PPM-type phosphatase domain superfamily
      2 IPR036433	Elongation factor EF1B gamma, C-terminal domain superfamily
      2 IPR036400	Cytochrome b5-like heme/steroid binding domain superfamily
      2 IPR036383	Thrombospondin type-1 (TSP1) repeat superfamily
      2 IPR036364	SEA domain superfamily
      2 IPR036306	ISWI, HAND domain superfamily
      2 IPR036265	HIT-like superfamily
      2 IPR036250	Acyl-CoA dehydrogenase-like, C-terminal
      2 IPR036058	Kazal domain superfamily
      2 IPR036056	Fibrinogen-like, C-terminal
      2 IPR036054	BTG-like domain superfamily
      2 IPR036052	Tryptophan synthase beta subunit-like PLP-dependent enzyme
      2 IPR036020	WW domain superfamily
      2 IPR035901	GIY-YIG endonuclease superfamily
      2 IPR035899	Dbl homology (DH) domain superfamily
      2 IPR035810	Phosphatidylethanolamine-binding protein, eukaryotic
      2 IPR035699	Dynein heavy chain, hydrolytic ATP-binding dynein motor region
      2 IPR034907	Nucleoside diphosphate kinase-like domain
      2 IPR034102	Small nuclear ribonucleoprotein D1
      2 IPR033952	Stimulator of interferon genes protein, C-terminal
      2 IPR033214	A-kinase-interacting protein 1
      2 IPR032801	Peroxiredoxin-like 2A/B/C
      2 IPR031778	Sortilin, N-terminal
      2 IPR031248	E3 ubiquitin-protein ligase RNF213
      2 IPR031127	E3 ubiquitin ligase RBR family
      2 IPR030659	SecY conserved site
      2 IPR030379	Septin-type guanine nucleotide-binding (G) domain
      2 IPR029760	Glutathione peroxidase conserved site
      2 IPR029405	APCDD1 domain
      2 IPR029309	Calcium-responsive transcription factor
      2 IPR029070	Chitinase insertion domain superfamily
      2 IPR029063	S-adenosyl-L-methionine-dependent methyltransferase
      2 IPR029047	Heat shock protein 70kD, peptide-binding domain superfamily
      2 IPR029020	Ammonium/urea transporter
      2 IPR029001	Inosine triphosphate pyrophosphatase-like
      2 IPR029000	Cyclophilin-like domain superfamily
      2 IPR028507	Thrombospondin-3
      2 IPR027965	Protein of unknown function DUF4513
      2 IPR027963	Meiosis-specific coiled-coil domain-containing protein MEIOC
      2 IPR027534	Ribosomal protein L12/P1/P2 family
      2 IPR027496	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase, eukaryotes
      2 IPR027141	Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3
      2 IPR026983	Dynein heavy chain
      2 IPR026849	Autophagy-related protein 2
      2 IPR026156	Folliculin-interacting protein family
      2 IPR026117	Prostate apoptosis response 4
      2 IPR025483	Lipase, eukaryotic
      2 IPR025261	Domain of unknown function DUF4210
      2 IPR025258	Putative zinc-RING and/or ribbon
      2 IPR024041	Ammonium transporter AmtB-like domain
      2 IPR023753	FAD/NAD(P)-binding domain
      2 IPR023674	Ribosomal protein L1-like
      2 IPR023574	Ribosomal protein L4 domain superfamily
      2 IPR023210	NADP-dependent oxidoreductase domain
      2 IPR023201	SecY domain superfamily
      2 IPR022495	Serine/threonine-protein kinase Bud32
      2 IPR022413	ATP:guanido phosphotransferase, N-terminal
      2 IPR021718	Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
      2 IPR021673	RIG-I-like receptor, C-terminal regulatory domain
      2 IPR021013	ATPase, vacuolar ER assembly factor, Vma12
      2 IPR020825	Phenylalanyl-tRNA synthetase, B3/B4
      2 IPR020726	Apoptosis regulator, Bcl-2, BH2 motif, conserved site
      2 IPR019821	Kinesin motor domain, conserved site
      2 IPR019749	Band 4.1 domain
      2 IPR019748	FERM central domain
      2 IPR019399	Parkin co-regulated protein
      2 IPR019393	WASH complex, subunit strumpellin
      2 IPR019356	Protein of unknown function DUF2181
      2 IPR018980	FERM, C-terminal PH-like domain
      2 IPR018967	Iron sulphur-containing domain, CDGSH-type
      2 IPR018034	KRR1 interacting protein 1
      2 IPR017946	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily
      2 IPR017937	Thioredoxin, conserved site
      2 IPR017920	COMM domain
      2 IPR017884	SANT domain
      2 IPR017853	Glycoside hydrolase superfamily
      2 IPR016488	NADH dehydrogenase [ubiquinone] (complex I), alpha subcomplex, subunit 6
      2 IPR016158	Cullin homology domain
      2 IPR016102	Succinyl-CoA synthetase-like
      2 IPR015915	Kelch-type beta propeller
      2 IPR015894	Guanylate-binding protein, N-terminal
      2 IPR014877	Exportin-1, C-terminal
      2 IPR014716	Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1
      2 IPR014710	RmlC-like jelly roll fold
      2 IPR013866	Sphingolipid delta4-desaturase, N-terminal
      2 IPR013761	Sterile alpha motif/pointed domain superfamily
      2 IPR013328	6-phosphogluconate dehydrogenase, domain 2
      2 IPR013256	Chromatin SPT2
      2 IPR013102	Pyrimidine nucleoside phosphorylase, C-terminal
      2 IPR012989	SEP domain
      2 IPR012968	FerIin domain
      2 IPR012341	Six-hairpin glycosidase-like superfamily
      2 IPR012340	Nucleic acid-binding, OB-fold
      2 IPR012317	Poly(ADP-ribose) polymerase, catalytic domain
      2 IPR012301	Malic enzyme, N-terminal domain
      2 IPR011641	Tyrosine-protein kinase ephrin type A/B receptor-like
      2 IPR011545	DEAD/DEAH box helicase domain
      2 IPR011527	ABC transporter type 1, transmembrane domain
      2 IPR011388	Sphingolipid delta4-desaturase
      2 IPR011249	Metalloenzyme, LuxS/M16 peptidase-like
      2 IPR011051	RmlC-like cupin domain superfamily
      2 IPR010920	LSM domain superfamily
      2 IPR010721	Protein of unknown function DUF1295
      2 IPR010569	Myotubularin-like phosphatase domain
      2 IPR010516	Sin3 associated polypeptide p18
      2 IPR009976	Exocyst complex component Sec10-like
      2 IPR009851	Modifier of rudimentary, Modr
      2 IPR009816	Protein of unknown function DUF1387
      2 IPR009374	Eukaryotic translation initiation factor 3 subunit K
      2 IPR009075	Acyl-CoA dehydrogenase/oxidase C-terminal
      2 IPR009072	Histone-fold
      2 IPR009060	UBA-like superfamily
      2 IPR009023	Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily
      2 IPR008996	Cytokine IL1/FGF
      2 IPR008993	Tissue inhibitor of metalloproteinases-like, OB-fold
      2 IPR008974	TRAF-like
      2 IPR008952	Tetraspanin, EC2 domain superfamily
      2 IPR008927	6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily
      2 IPR008814	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1
      2 IPR007783	Eukaryotic translation initiation factor 3 subunit D
      2 IPR007502	Helicase-associated domain
      2 IPR007484	Peptidase M28
      2 IPR007369	Peptidase A22B, signal peptide peptidase
      2 IPR007231	Nucleoporin interacting component Nup93/Nic96
      2 IPR006880	INO80 complex subunit B-like conserved region
      2 IPR006822	Coatomer, epsilon subunit
      2 IPR006816	ELMO domain
      2 IPR006762	Gtr1/RagA G protein
      2 IPR006693	Partial AB-hydrolase lipase domain
      2 IPR006595	CTLH, C-terminal LisH motif
      2 IPR006553	Leucine-rich repeat, cysteine-containing subtype
      2 IPR006214	Bax inhibitor 1-related
      2 IPR006114	6-phosphogluconate dehydrogenase, C-terminal
      2 IPR006050	DNA photolyase, N-terminal
      2 IPR005867	Photosystem II protein D1
      2 IPR005824	KOW
      2 IPR005817	Wnt
      2 IPR005599	GPI mannosyltransferase
      2 IPR005522	Inositol polyphosphate kinase
      2 IPR005373	Uncharacterised protein family UPF0183
      2 IPR005036	CBM21 (carbohydrate binding type-21) domain
      2 IPR004856	Glycosyl transferase, ALG6/ALG8
      2 IPR004241	Autophagy protein Atg8 ubiquitin-like
      2 IPR004240	Nonaspanin (TM9SF)
      2 IPR004165	Coenzyme A transferase family I
      2 IPR004154	Anticodon-binding
      2 IPR004153	CXCXC repeat
      2 IPR004152	GAT domain
      2 IPR004148	BAR domain
      2 IPR004045	Glutathione S-transferase, N-terminal
      2 IPR003959	ATPase, AAA-type, core
      2 IPR003697	Nucleoside triphosphate pyrophosphatase Maf-like protein
      2 IPR003604	Matrin/U1-C-like, C2H2-type zinc finger
      2 IPR003152	FATC domain
      2 IPR003114	Phox-associated domain
      2 IPR002579	Peptide methionine sulphoxide reductase MrsB
      2 IPR002475	Bcl2-like
      2 IPR002423	Chaperonin Cpn60/TCP-1 family
      2 IPR002125	Cytidine and deoxycytidylate deaminase domain
      2 IPR002109	Glutaredoxin
      2 IPR002083	MATH/TRAF domain
      2 IPR002077	Voltage-dependent calcium channel, alpha-1 subunit
      2 IPR002018	Carboxylesterase, type B
      2 IPR001936	Ras GTPase-activating domain
      2 IPR001930	Peptidase M1, alanine aminopeptidase/leukotriene A4 hydrolase
      2 IPR001895	Ras guanine-nucleotide exchange factors catalytic domain
      2 IPR001891	Malic oxidoreductase
      2 IPR001846	von Willebrand factor, type D domain
      2 IPR001763	Rhodanese-like domain
      2 IPR001734	Sodium/solute symporter
      2 IPR001619	Sec1-like protein
      2 IPR001507	Zona pellucida domain
      2 IPR001503	Glycosyl transferase family 10
      2 IPR001206	Diacylglycerol kinase, catalytic domain
      2 IPR001141	Ribosomal protein L27e
      2 IPR000961	AGC-kinase, C-terminal
      2 IPR000873	AMP-dependent synthetase/ligase
      2 IPR000798	Ezrin/radixin/moesin-like
      2 IPR000754	Ribosomal protein S9
      2 IPR000690	Matrin/U1-C, C2H2-type zinc finger
      2 IPR000648	Oxysterol-binding protein
      2 IPR000643	Iodothyronine deiodinase
      2 IPR000542	Acyltransferase ChoActase/COT/CPT
      2 IPR000315	B-box-type zinc finger
      2 IPR000305	GIY-YIG endonuclease
      2 IPR000298	Cytochrome c oxidase subunit III-like
      2 IPR000270	PB1 domain
      2 IPR000156	Ran binding domain
      2 IPR000109	Proton-dependent oligopeptide transporter family
      2 IPR000082	SEA domain
      2 IPR000047	Helix-turn-helix motif
      1 IPR044113	DDX41, DEAD-box helicase domain
      1 IPR044076	Ribosomal protein P2
      1 IPR044066	TRIAD supradomain
      1 IPR043587	Protein phosphatase Slingshot-like
      1 IPR043566	Rabphilin/DOC2/Noc2
      1 IPR043541	Synaptotagmin-14/14L/16
      1 IPR043371	cAMP-specific 3’,5’-cyclic phosphodiesterase 4
      1 IPR043211	TNF receptor-associated factor TRAF
      1 IPR043204	Basigin-like
      1 IPR043197	Plakin
      1 IPR043162	Dedicator of cytokinesis, C-terminal, lobe C
      1 IPR043160	Dynein heavy chain, C-terminal domain, barrel region
      1 IPR043157	Dynein heavy chain, AAA1 domain, small subdomain
      1 IPR043127	Sec1-like, domain 3a
      1 IPR042982	Homeobox protein GBX-1/2
      1 IPR042634	Homeobox protein MOX-1/MOX-2
      1 IPR042559	Glutaminyl-tRNA synthetase, class Ib, non-specific RNA-binding domain, N-terminal, subdomain 2
      1 IPR042534	Sin3 associated polypeptide p18 superfamily
      1 IPR042425	Protein APCDD1
      1 IPR042410	Transducin beta-like protein 2
      1 IPR042350	All-trans retinoic acid-induced differentiation factor
      1 IPR042222	Dynein heavy chain, domain 2, N-terminal
      1 IPR042216	Iron sulphur domain-containing, mitoNEET, C-terminal
      1 IPR042108	GTPase HflX, N-terminal domain superfamily
      1 IPR041991	Eukaryotic Ribosomal Protein L27, KOW domain
      1 IPR041698	Methyltransferase domain 25
